          0         1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70
0   1.000000  0.497129  0.600473  0.428505  0.396233  0.463725  0.415990  0.414479  0.459208  0.563783  0.423173  0.564971  0.566312  0.427843  0.068400  0.003859  0.021963 -0.005265  0.169530  0.111971  0.034451  0.089983  0.028931  0.040457  0.007523  0.109397  0.056938  0.041991 -0.003090 -0.009041 -0.010960  0.136795  0.092170  0.017291  0.077878  0.019357  0.010857 -0.018098  0.065657  0.042551  0.213238  0.419550  0.196593  0.284861  0.125777  0.071187  0.195954  0.106644  0.095440  0.184158  0.211446  0.119819  0.153012  0.246345  0.022810  0.141652  0.098887  0.099506 -0.015122 -0.012442  0.109832  0.013436  0.013566  0.087141  0.038448 -0.016650  0.014471  0.106460  0.735593  0.325944  0.084626
1   0.497129  1.000000  0.530672  0.481117  0.347123  0.461129  0.370691  0.378170  0.530151  0.468214  0.395746  0.480538  0.468996  0.381335  0.108428 -0.002507  0.056854 -0.003651  0.100381  0.105098  0.026636  0.084232  0.028419  0.055422  0.055059  0.092306  0.044533  0.095409 -0.016483  0.029402 -0.010044  0.071396  0.085385  0.011344  0.073191  0.017366  0.030818  0.030631  0.055097  0.032616  0.202709  0.201480  0.351738  0.263563  0.173244  0.104419  0.197564  0.096603  0.117860  0.192805  0.218764  0.154596  0.110038  0.184894 -0.000136  0.023363  0.104040  0.117168  0.020924  0.048185  0.077809  0.045321  0.035597  0.052120  0.032676 -0.002102  0.021503  0.048688  0.683591  0.320945  0.071171
2   0.600473  0.530672  1.000000  0.456036  0.388561  0.490996  0.409633  0.402153  0.471311  0.614555  0.423778  0.574500  0.569427  0.451444  0.073073 -0.019839 -0.001030 -0.013450  0.146156  0.079995 -0.010924  0.060125 -0.013526  0.026516 -0.032697  0.107053  0.036737  0.057262 -0.027254 -0.052611 -0.019513  0.113926  0.058896 -0.027826  0.048337 -0.023355 -0.005733 -0.057962  0.062544  0.022247  0.185087  0.220625  0.205125  0.412488  0.141024  0.058714  0.191132  0.070050  0.063843  0.166946  0.219019  0.103767  0.136148  0.218549 -0.028328  0.037819  0.064617  0.117579 -0.038826 -0.034554  0.095396 -0.038267 -0.022926  0.041760  0.017407 -0.050640 -0.006970  0.080005  0.751277  0.301278  0.037691
3   0.428505  0.481117  0.456036  1.000000  0.459847  0.473828  0.444336  0.476840  0.479359  0.433858  0.487962  0.429930  0.436285  0.388112  0.073218  0.017798  0.044030  0.032938  0.144791  0.079288  0.014589  0.100687  0.044280  0.061833  0.065541  0.125441  0.074450  0.061966  0.011071  0.020446  0.019664  0.106468  0.058934 -0.003742  0.086756  0.034287  0.039024  0.035443  0.092474  0.063403  0.172261  0.199556  0.203194  0.249022  0.383287  0.171987  0.217022  0.180900  0.183800  0.182815  0.216417  0.215856  0.132764  0.195878  0.005006  0.078131  0.090352  0.115236  0.135726  0.106529  0.112065  0.115200  0.093069  0.097300  0.063868  0.049997  0.064261  0.119885  0.691183  0.357997  0.134213
4   0.396233  0.347123  0.388561  0.459847  1.000000  0.430596  0.530357  0.549197  0.372550  0.407645  0.534436  0.384918  0.400872  0.371985  0.005421  0.025185 -0.008201  0.021552  0.117241  0.058218  0.020937  0.044293 -0.001623 -0.061900 -0.065344  0.083534  0.038947 -0.005075  0.020330 -0.028233  0.015451  0.032636  0.039674 -0.000943  0.028134 -0.009392 -0.083214 -0.096971  0.053802  0.028762  0.159573  0.239172  0.179137  0.217206  0.260275  0.397940  0.236013  0.222376  0.285067  0.218602  0.221571  0.293406  0.190829  0.271351  0.047815  0.172070  0.159663  0.143740  0.116565  0.185913  0.185393  0.128293  0.119173  0.170314  0.080558  0.102726  0.127010  0.177090  0.667424  0.408774  0.206581
5   0.463725  0.461129  0.490996  0.473828  0.430596  1.000000  0.386119  0.382471  0.477304  0.478349  0.349794  0.472135  0.470621  0.365998  0.091892  0.038034  0.081380  0.008888  0.162136  0.100614  0.047003  0.104420  0.058726  0.130029  0.093203  0.111506  0.035955  0.079734  0.031583  0.055940  0.002596  0.126421  0.057429  0.031077  0.093284  0.048777  0.104821  0.071177  0.075105  0.023986  0.184183  0.135198  0.112228  0.187766  0.107819  0.120872  0.343422  0.085303  0.119187  0.114998  0.132893  0.104897  0.103185  0.117949 -0.011947 -0.037859 -0.038709 -0.018231 -0.056000  0.003821  0.054995  0.013835 -0.016517 -0.020901 -0.048969 -0.048102 -0.022899 -0.002637  0.669649  0.239765 -0.026453
6   0.415990  0.370691  0.409633  0.444336  0.530357  0.386119  1.000000  0.564471  0.421842  0.425778  0.509788  0.401779  0.405947  0.368750  0.032542 -0.007634 -0.032562  0.000554  0.054851  0.017791  0.022460  0.066600 -0.003754  0.014205 -0.045682  0.093554  0.119868  0.021563 -0.012814 -0.053647 -0.005349  0.009933  0.001044 -0.018795  0.050025 -0.012551 -0.008134 -0.076014  0.062566  0.109647  0.174948  0.245038  0.213587  0.252501  0.247064  0.233834  0.244843  0.368435  0.286470  0.254962  0.221660  0.287940  0.219054  0.276714  0.053277  0.166689  0.179334  0.157632  0.133310  0.153321  0.193460  0.187231  0.149503  0.192276  0.084969  0.114939  0.120093  0.179045  0.674289  0.426048  0.221702
7   0.414479  0.378170  0.402153  0.476840  0.549197  0.382471  0.564471  1.000000  0.428509  0.445774  0.568207  0.400068  0.409361  0.410727  0.022090 -0.018918 -0.053974  0.033754  0.064357  0.030681  0.009469  0.068734 -0.036934 -0.056082 -0.080490  0.074440  0.075473  0.011135 -0.024201 -0.074643  0.027431  0.017892  0.014137 -0.013819  0.039292 -0.045873 -0.079400 -0.114008  0.043444  0.065114  0.195635  0.249310  0.209111  0.245617  0.305498  0.260713  0.255304  0.255599  0.394197  0.251912  0.250960  0.292348  0.210049  0.265480  0.076909  0.170542  0.166572  0.164743  0.139143  0.160573  0.197307  0.183261  0.220694  0.205904  0.123309  0.128233  0.149097  0.180791  0.690433  0.439118  0.240698
8   0.459208  0.530151  0.471311  0.479359  0.372550  0.477304  0.421842  0.428509  1.000000  0.535547  0.449197  0.483497  0.477987  0.412753  0.070903  0.018072  0.027017  0.012224  0.112458  0.106106  0.011135  0.072247  0.013905  0.057467  0.028756  0.108721  0.065857  0.058833  0.010660  0.002669  0.005860  0.081379  0.085693 -0.006268  0.059699 -0.006946  0.029331  0.001357  0.071402  0.053736  0.189030  0.183871  0.235571  0.250186  0.200466  0.127962  0.219165  0.142019  0.141278  0.366321  0.247639  0.200607  0.145854  0.187155  0.018587  0.071807  0.090447  0.118356  0.014433  0.055709  0.107447  0.066291  0.068843  0.131954  0.079236  0.034124  0.035938  0.075415  0.701645  0.351008  0.106982
9   0.563783  0.468214  0.614555  0.433858  0.407645  0.478349  0.425778  0.445774  0.535547  1.000000  0.499368  0.583860  0.571981  0.431519  0.023558 -0.002753 -0.030157 -0.012774  0.112069  0.048635 -0.006594  0.049435 -0.047836  0.007642 -0.085847  0.057386  0.016980  0.008647 -0.009297 -0.061816 -0.018542  0.077992  0.027979 -0.024160  0.036341 -0.059007 -0.044798 -0.115157  0.011765  0.002402  0.239579  0.255476  0.235961  0.296959  0.201953  0.114119  0.220919  0.117314  0.112101  0.248640  0.401829  0.162470  0.174749  0.244610  0.049753  0.118865  0.128642  0.126976  0.035216  0.005360  0.174309  0.027736  0.020905  0.150061  0.135046  0.010696  0.037446  0.147712  0.760062  0.375155  0.138414
